Title,Director,Cast,Genre,year,Notes,Notes/Music,Music
Balika Badhu a.k.a. Baby Bride,P. T. Shaida (Tulsidutt Shaida),"Miss Ali, Tarak Bagcha, Pandit Tulsidutt Shaida",Social,1920,,,
Daksha Yagna a.k.a. Sati Parvati,Vishnupant Divekar,"Khalil, Prabha, Vaidya",Mythology,1920,,,
Jalandhar Vrinda a.k.a. Sati Tulsi Vrinda,G. V. Sane,,Mythology,1920,,,
Kansa Vadha a.k.a. End Of The Tyrant King,G. V. Sane,,Mythology,1920,,,
Katorabhar Khoon a.k.a.The Stinger Stung a.k.a. Zaheri Saanp,S. N. Patankar,"Trymbakrao Pradhan, Tara Koregaonkar, Baba Vyas, K. G. Gokhale",Social,1920,,,
Krishna Sudama a.k.a. Shri Krishna Sudama,Vishnupant Divekar,"Khalil, Vaidya, Prabha, Kesarbai, Moti, Sakina, Ali Miya",Mythology,1920,,,
Lava Kusha,R. Nataraja Mudaliar,,Mythology,1920,,,
Mahabharata,Rustomji Dhotiwala,,,1920,,,
Mrichhakatik,Suchet Singh,Kanjibhai Rathod,,1920,,,
Narasinha Avtar,Shree Nath Patankar,,Mythology,1920,,,
Narsinh Mehta,"Suchet Singh, Shukle",Kanjibhai Rathod,Devotional,1920,,,
Ram Janma,G. V. Sane,,Mythology,1920,,,
Rama Or Maya,"Suchet Singh, Shukle","Dorothy Kingdon, Goharjaan, Kanjbhai Rathod, Samson",Mythology,1920,,,
Sairandhri,Baburao Painter,"Balasabeb Yadav, Zunzharrao Pawar, Kamaladevi, Balasabeb Yadav, Keshavrao Dhaiber, Baburao Pendharkar, Ganpatrao Bakre, Ansuyabai, Gulabbai, Ravi Bhaskar",Mythology,1920,,,
Shakuntala,Suchet Singh,"Dorothy Kingdon, Goharjaan, Mrs. Sutria, Samson",Mythology,1920,,,
Shakuntala,Shree Nath Patankar,,Mythology drama,1920,,,
Shri Krishna Leela,G. V. Sane,,Mythology,1920,,,
Shri Rama Janma,G. V. Sane,,Mythology,1920,,,
Sita Swayamwar a.k.a. Sita's Marriage,Shree Nath Patankar,Limaye,Mythology,1920,,,
The Enchanted Pills a.k.a. Vichitra Gutika,S. N. Patankar,"Trymbakrao Pradhan, Marathe, Sitarampant Joshi, K. G. Gokhale, Damuanna Joshi, Dighe",Social,1920,,,
Vikram Urvashi,Kanjibhai Rathod,"R. N. Vaidya, Lina Valentine",Mythology,1920,,,
Behula,C. Legrand,Patience Cooper,Mythology,1921,,,
Belgian Emperor's Visit To India,Nitin Bose,,Documentary,1921,,,
Bhakta Vidur,Kanjibhai Rathod,"Dwarkadas Sampat, Sakina, Maneklal Patel, Homi Master, Prabhashankar, Gangaram",Devotional,1921,,,
Bilet Pherat a.k.a. England Returned,Dhirendranath Ganguly,"Dhirendranath Ganguly, Manmatha Pal, Sushilabala, Kunjalal Chakraborty",Social Comedy,1921,,,
Chandrahasa,Kanjibhai Rathod,"Khalil, Tara, Moti, Savita, Dhanji",Devotional,1921,,,
Dabbur Kelenkari,Debi Ghosh,Chani Datta,,1921,,,
